score,canonical_name,primary_state,locations,employees,revenue_est,year_established,school,special_needs,website,rationale
69.5,Taty School Bus,FL,2,6,223000,1999,1,0,Tatyschoolbus.Com,6 emp; $0.2M rev; est 1999 (27y); small(2-5); web+phone; school
69.2,School Bus,SD,15,465,64407000,2015,1,0,Schoolbus.Com,465 emp; $64.4M rev; est 2015 (11y); large(15-49); web+phone; school
68.0,Dependability Co School,PA,1,5,1200000,,1,0,,5 emp; $1.2M rev; year n/a; single; phone; school
67.5,A Plus School Bus,FL,1,5,223000,2011,1,0,Aplusbus.Com,5 emp; $0.2M rev; est 2011 (15y); single; web+phone; school
67.0,Coventry Schools Trnsprtn,OH,2,6,396000,,1,0,Coventryschools.Org,6 emp; $0.4M rev; year n/a; small(2-5); web+phone; school
66.5,A Plus School Transportation,FL,2,17,767000,2019,1,0,,17 emp; $0.8M rev; est 2019 (7y); small(2-5); phone; school
65.5,Pellston Schools Bus Trnsprtn,MI,1,2,726000,,1,0,Pellstonschools.Org,2 emp; $0.7M rev; year n/a; single; web+phone; school
65.5,Loudonville Schools Trnsprtn,OH,1,5,249000,,1,0,Lpschools.K12.Oh.Us,5 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Singing School Bus Driver,NY,1,5,241000,,1,0,Singingschoolbusdriver.Com,5 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Reliable School-Med Transport,MA,1,3,209000,,1,0,Reliablemt.Com,3 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Manalapan School Trnsprtn,NJ,1,4,205000,,1,0,Mersnj.Us,4 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Amphitheater Schools Trnsprtn,AZ,1,5,193000,,1,0,Amphi.Com,5 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Lakeland School Corp,IN,1,3,183000,,1,0,Lakelandlakers.Org,3 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Ontario Local Schools Bus Grge,OH,1,5,171000,,1,0,Ontarioschools.Org,5 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Maxwell Schools Business Grge,IN,1,4,168000,,1,0,Gcsc.K12.In.Us,4 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,School Bus Driver,IN,1,4,168000,,1,0,Smithmonuments.Com,4 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Tyrrell Cnty School Bus,NC,1,4,168000,,1,0,Tycomail.Com,4 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Los Lunas Schools Trnsprtn,NM,1,4,168000,,1,0,Llschools.Net,4 emp; $0.2M rev; year n/a; single; web+phone; school
65.5,Coquille School Transportation,OR,1,4,137000,,1,0,Coquille.K12.Or.Us,4 emp; $0.1M rev; year n/a; single; web+phone; school
65.5,Perry Local Schools-Trnsprtn,OH,1,3,109000,,1,0,Danlin.Us,3 emp; $0.1M rev; year n/a; single; web+phone; school
65.5,West Grand School Trnsprtn,CO,1,3,105000,,1,0,Wgsd.Us,3 emp; $0.1M rev; year n/a; single; web+phone; school
65.5,Rolling Hills School Transport,OH,1,3,100000,,1,0,Rollinghills.K12.Oh.Us,3 emp; $0.1M rev; year n/a; single; web+phone; school
65.0,Basis Texas Charter School Inc,TX,1,3,347000,2024,1,0,Enrollbasistx.Com,3 emp; $0.3M rev; est 2024 (2y); single; web+phone; school
63.0,Clarke Schools Transportation,IA,1,2,64000,1945,1,0,,2 emp; $0.1M rev; est 1945 (81y); single; phone; school
62.0,School Bus System,CA,1,8,682000,,1,0,,8 emp; $0.7M rev; year n/a; single; phone; school
62.0,Jenkins School Buses,PA,1,3,648000,,1,0,,3 emp; $0.6M rev; year n/a; single; phone; school
62.0,Old School Transportation Svc,IL,1,8,452000,,1,0,,8 emp; $0.5M rev; year n/a; single; phone; school
62.0,Ky High School Soccer Coaches,KY,1,5,452000,,1,0,,5 emp; $0.5M rev; year n/a; single; phone; school
62.0,Magic School Bus,FL,1,9,410000,,1,0,,9 emp; $0.4M rev; year n/a; single; phone; school
62.0,International School-Bus,TX,1,9,409000,,1,0,,9 emp; $0.4M rev; year n/a; single; phone; school
62.0,Joyces School Bus Transport,MD,1,5,407000,,1,0,,5 emp; $0.4M rev; year n/a; single; phone; school
62.0,School Transportation Of Kids,FL,1,9,400000,,1,0,,9 emp; $0.4M rev; year n/a; single; phone; school
62.0,Mid States School Bus,NE,1,7,397000,,1,0,,7 emp; $0.4M rev; year n/a; single; phone; school
62.0,E & M School Transportation,FL,1,8,336000,,1,0,,8 emp; $0.3M rev; year n/a; single; phone; school
62.0,Stay In Your Lane Schoolie Bus,MO,1,3,317000,,1,0,,3 emp; $0.3M rev; year n/a; single; phone; school
62.0,Stockton School Transportation,CA,1,7,300000,,1,0,,7 emp; $0.3M rev; year n/a; single; phone; school
62.0,K I K School Bus Trnsprtn,FL,1,3,293000,,1,0,,3 emp; $0.3M rev; year n/a; single; phone; school
