score,canonical_name,primary_state,locations,employees,revenue_est,year_established,school,special_needs,website,rationale
88.5,Schools-Lebanon-Transportation,IN,1,45,1888000,,1,0,Leb.K12.In.Us,45 emp; $1.9M rev; year n/a; single; web+phone; school
88.5,Huron Valley Schools Trnsprtn,MI,1,38,1820000,,1,0,Hvs.Org,38 emp; $1.8M rev; year n/a; single; web+phone; school
88.5,Parkway Schools Trnsprtn Svc,MO,1,39,1733000,,1,0,Edline.Net,39 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Rock Hill School Bus Trnsprtn,SC,1,41,1720000,,1,0,Rock-Hill.K12.Sc.Us,41 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Lancaster School Trnsprtn,OH,1,49,1714000,,1,0,Lancaster.K12.Oh.Us,49 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Erie's Public Schools Trnsprtn,PA,1,50,1702000,,1,0,Eriesd.Org,50 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Bureau Valley School Transport,IL,1,40,1678000,,1,0,Bv340.Org,40 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Lebanon School Corp Trnsprtn,IN,1,35,1664000,,1,0,Leb.K12.In.Us,35 emp; $1.7M rev; year n/a; single; web+phone; school
88.5,Elgin Schools Transportation,OR,1,39,1636000,,1,0,Trilliumvalleyfp.Com,39 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Joplin Schools Transportation,MO,1,45,1602000,,1,0,Jhs.Joplinschools.Org,45 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Janet Cioffi School Bus,FL,1,36,1600000,,1,0,Familyfoodrewards.Com,36 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Tania School Bus,FL,1,36,1600000,,1,0,Taniaschoolbus.Com,36 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Olmsted Falls School Bus GRG,OH,1,35,1562000,,1,0,Ofcs.Net,35 emp; $1.6M rev; year n/a; single; web+phone; school
88.5,Colorado Transportation School,CO,1,33,1489000,,1,0,Coloradotransportationschool.Com,33 emp; $1.5M rev; year n/a; single; web+phone; school
88.5,Western School-Health & Bus,PA,1,32,1419000,,1,0,Western-School.Com,32 emp; $1.4M rev; year n/a; single; web+phone; school
88.5,Fort Bend School Trnsprtn,TX,1,33,1415000,,1,0,Fortbendisd.Com,33 emp; $1.4M rev; year n/a; single; web+phone; school
88.5,Krapf School Bus,PA,1,38,1405000,,1,0,Redlionbus.Com,38 emp; $1.4M rev; year n/a; single; web+phone; school
88.5,Fairfield Schools Trnsprtn Ofc,IA,1,40,1375000,,1,0,Fairfieldsfuture.Org,40 emp; $1.4M rev; year n/a; single; web+phone; school
88.5,Gorham School Bus Transportn,ME,1,20,1340000,,1,0,Gorhamschools.Org,20 emp; $1.3M rev; year n/a; single; web+phone; school
88.5,Schools-Public Transportation,WY,1,30,1259000,,1,0,Crb1.Net,30 emp; $1.3M rev; year n/a; single; web+phone; school
88.5,Grisim School Bus,MN,1,30,1256000,,1,0,Ssd.K12.Mn.Us,30 emp; $1.3M rev; year n/a; single; web+phone; school
88.5,Marilys School Bus,FL,1,28,1245000,,1,0,Marilyschoolbus.Com,28 emp; $1.2M rev; year n/a; single; web+phone; school
88.5,Revere Local Schools Bus Grge,OH,1,30,1214000,,1,0,Revereschools.Org,30 emp; $1.2M rev; year n/a; single; web+phone; school
88.5,Schools Public Bus Mntnc Dept,OK,1,27,1193000,,1,0,Whitebuffalo.Com,27 emp; $1.2M rev; year n/a; single; web+phone; school
88.5,Woodbridge Schools Trnsprtn,NJ,1,23,1185000,,1,0,Woodbridge.K12.Nj.Us,23 emp; $1.2M rev; year n/a; single; web+phone; school
88.5,South Dakota School Bus,SD,1,10,1089000,,1,0,Goyotes.Com,10 emp; $1.1M rev; year n/a; single; web+phone; school
88.5,Ringgold School Transportation,PA,1,26,1056000,,1,0,Ringgold.Org,26 emp; $1.1M rev; year n/a; single; web+phone; school
88.5,Show Low Schools Trnsprtn,AZ,1,25,1049000,,1,0,Show-Low.K12.Az.Us,25 emp; $1.0M rev; year n/a; single; web+phone; school
88.5,South Spencer Co Sch Corp,IN,1,25,1049000,,1,0,Southspencerathletics.Com,25 emp; $1.0M rev; year n/a; single; web+phone; school
88.5,Esm School Bus Driver,NY,1,25,1049000,,1,0,Hartekampgroep.Nl,25 emp; $1.0M rev; year n/a; single; web+phone; school
88.5,NYC School Bus Umbrella Svc,NY,1,25,1049000,,1,0,Nycsbus.Com,25 emp; $1.0M rev; year n/a; single; web+phone; school
88.5,Schools Transportation-Mntnc,UT,1,30,1025000,,1,0,Grandschools.Org,30 emp; $1.0M rev; year n/a; single; web+phone; school
88.0,Monroe School Transportation,NC,9,413,17423000,1985,1,0,Speedhost.Com,413 emp; $17.4M rev; est 1985 (41y); mid(6-14); web+phone; school
86.5,Decatur School Mntnc & Trnsp,AR,1,30,0,,1,0,Decatursd.Com,30 emp; rev n/a; year n/a; single; web+phone; school
86.5,City Charter School,CA,1,69,0,,1,0,Citycharterschool.Org,69 emp; rev n/a; year n/a; single; web+phone; school
86.5,Cape Coral Charter School,FL,1,40,0,,1,0,Capecoralcharter.Org,40 emp; rev n/a; year n/a; single; web+phone; school
86.5,Marshall Schools Business Grge,IL,1,20,0,,1,0,Marshallk12.Net,20 emp; rev n/a; year n/a; single; web+phone; school
86.5,Fall River School Trnsprtn,MA,1,11,0,,1,0,Fallriverschools.Org,11 emp; rev n/a; year n/a; single; web+phone; school
86.5,Upper Sandusky School Bus Grge,OH,1,20,0,,1,0,Usevs.Org,20 emp; rev n/a; year n/a; single; web+phone; school
86.0,Mission School Trnsprtn Sta,CA,1,300,32235000,1968,1,0,,300 emp; $32.2M rev; est 1968 (58y); single; phone; school
86.0,Miami School Transportation,FL,1,350,26440000,2004,1,0,Dadeschools.Net,350 emp; $26.4M rev; est 2004 (22y); single; web+phone; school
85.5,Kiessling School Trnsprtn,MA,2,166,13491000,,1,0,Kiesslingtransit.Com,166 emp; $13.5M rev; year n/a; small(2-5); web+phone; school
85.5,Ashtown School Bus Station,AR,2,91,7067000,,1,0,Ashdownschools.Org,91 emp; $7.1M rev; year n/a; small(2-5); web+phone; school
85.5,School Bus Transportation,NC,3,123,4891000,,1,0,Ncbussafety.Org,123 emp; $4.9M rev; year n/a; small(2-5); web+phone; school
85.5,Westfield WA Schools Trnsprtn,IN,2,113,4641000,,1,0,Wws.K12.In.Us,113 emp; $4.6M rev; year n/a; small(2-5); web+phone; school
85.5,Old Mission School Bus Off,CA,2,84,4261000,,1,0,Oldmissionschool.Com,84 emp; $4.3M rev; year n/a; small(2-5); web+phone; school
85.5,Johnson School Bus,WI,2,52,3597000,,1,0,Johnsonschoolbus.Com,52 emp; $3.6M rev; year n/a; small(2-5); web+phone; school
85.5,Grand Blanc Schools Trnsprtn,MI,2,73,3099000,,1,0,Gbcs.Org,73 emp; $3.1M rev; year n/a; small(2-5); web+phone; school
85.5,Wisconsin School Bus Associati,IL,2,54,2722000,,1,0,Dirwsba.Com,54 emp; $2.7M rev; year n/a; small(2-5); web+phone; school
85.5,David Eccles School Of Bus,AZ,2,54,2132000,,1,0,Unitedacceptance.Com,54 emp; $2.1M rev; year n/a; small(2-5); web+phone; school
85.5,Unity School Bus Parts,MI,2,47,2077000,,1,0,Unityparts.Com,47 emp; $2.1M rev; year n/a; small(2-5); web+phone; school
85.5,VIP School Bus,LA,2,38,1685000,,1,0,Vipschoolbus.Com,38 emp; $1.7M rev; year n/a; small(2-5); web+phone; school
85.5,Charlies School Bus,FL,2,29,1315000,,1,0,Charliesschoolbus.Com,29 emp; $1.3M rev; year n/a; small(2-5); web+phone; school
84.0,Newport News School Trnsprtn,VA,1,400,14721000,,1,0,Sbo.Nn.K12.Va.Us,400 emp; $14.7M rev; year n/a; single; web+phone; school
83.5,Efficient School TRNSPRTN,MN,1,34,1356000,2023,1,0,E-Fficient.Org,34 emp; $1.4M rev; est 2023 (3y); single; web+phone; school
82.5,School Transportation,CA,7,284,12206000,,1,0,Mjusd.Com,284 emp; $12.2M rev; year n/a; mid(6-14); web+phone; school
82.5,Cleveland School Trnsprtn,MS,1,35,996000,,1,0,Cleveland.K12.Ms.Us,35 emp; $1.0M rev; year n/a; single; web+phone; school
82.5,Marysville School Bus,MI,1,23,965000,,1,0,Marysvilleschoolbus.Com,23 emp; $1.0M rev; year n/a; single; web+phone; school
82.5,Grandview Schools Trnsprtn DPT,WA,1,25,926000,,1,0,Gsd200.Org,25 emp; $0.9M rev; year n/a; single; web+phone; school
82.5,Marion Cmnty Schools Bus Gar,IN,1,29,902000,,1,0,Marion.K12.In.Us,29 emp; $0.9M rev; year n/a; single; web+phone; school
82.5,Johnsons School Bus,TX,1,23,901000,,1,0,Woodhousespas.Com,23 emp; $0.9M rev; year n/a; single; web+phone; school
82.5,Schools Public Trnsprtn Drctr,OR,1,20,839000,,1,0,Tillamooksouthprairieschool.Org,20 emp; $0.8M rev; year n/a; single; web+phone; school
82.5,Southern Local School Bus Grge,OH,1,14,814000,,1,0,Southern.K12.Oh.Us,14 emp; $0.8M rev; year n/a; single; web+phone; school
82.5,Tita School Bus,FL,1,12,800000,,1,0,Titabus.Com,12 emp; $0.8M rev; year n/a; single; web+phone; school
82.5,Rossford Schools Trnsprtn,OH,1,20,712000,,1,0,Rossfordschools.Org,20 emp; $0.7M rev; year n/a; single; web+phone; school
82.5,Shelbyville School Trnsprtn,IL,1,22,688000,,1,0,Shelbyville.K12.Il.Us,22 emp; $0.7M rev; year n/a; single; web+phone; school
82.5,Charleston School Trnsprtn,MO,1,20,663000,,1,0,Charlestonbluejays.Org,20 emp; $0.7M rev; year n/a; single; web+phone; school
82.5,South Lake Schools Trnsprtn,MI,1,15,621000,,1,0,Solake.Org,15 emp; $0.6M rev; year n/a; single; web+phone; school
82.5,Schools Public Business Garage,CO,1,13,546000,,1,0,Lakecountyschools.Net,13 emp; $0.5M rev; year n/a; single; web+phone; school
82.5,Perry Schools Trnsprtn Ctr,IA,1,11,513000,,1,0,Perry.K12.Ia.Us,11 emp; $0.5M rev; year n/a; single; web+phone; school
82.5,Sebeka School Transportation,MN,1,17,500000,,1,0,Sebeka.K12.Mn.Us,17 emp; $0.5M rev; year n/a; single; web+phone; school
82.5,Independence School Trnsprtn,MO,1,11,499000,,1,0,Isdschools.Org,11 emp; $0.5M rev; year n/a; single; web+phone; school
82.5,Mayer Schools Transportation,AZ,1,14,486000,,1,0,Mayerschools.Org,14 emp; $0.5M rev; year n/a; single; web+phone; school
82.5,Livingston Schools Bus GRG,MT,1,12,481000,,1,0,Livingston.K12.Mt.Us,12 emp; $0.5M rev; year n/a; single; web+phone; school
82.5,Wilkes Co Schools Bus Office,NC,1,15,479000,,1,0,Wilkescountyschools.Org,15 emp; $0.5M rev; year n/a; single; web+phone; school
82.5,Latta Schools Transportation,SC,1,15,475000,,1,0,Dillon3.K12.Sc.Us,15 emp; $0.5M rev; year n/a; single; web+phone; school
82.5,BLHS Schools Bus Supervisor,MN,1,14,421000,,1,0,Applitrack.Com,14 emp; $0.4M rev; year n/a; single; web+phone; school
82.5,Belfast School-Transportation,NY,1,14,382000,,1,0,Belfastcsd.Org,14 emp; $0.4M rev; year n/a; single; web+phone; school
82.5,Schools Public Bus Grge,WA,1,13,378000,,1,0,Oksd.Wednet.Edu,13 emp; $0.4M rev; year n/a; single; web+phone; school
82.5,Phillips Schools Trnsprtn,WI,1,12,332000,,1,0,Phillips.K12.Wi.Us,12 emp; $0.3M rev; year n/a; single; web+phone; school
82.5,Logan-Hocking School Trnsprtn,OH,1,10,271000,,1,0,Loganhocking.School,10 emp; $0.3M rev; year n/a; single; web+phone; school
82.0,Suburban School Transportation,OH,3,105,9566000,2026,1,1,Sstn.Com,105 emp; $9.6M rev; est 2026 (0y); small(2-5); web+phone; school+special
81.5,Jump On The School Bus,CA,3,23,404000,2010,1,0,Jumpontheschoolbus.Com,23 emp; $0.4M rev; est 2010 (16y); small(2-5); web+phone; school
80.5,Mission School Transportation,CA,3,155,10549000,2023,1,0,Atlanticexpress.Com,155 emp; $10.5M rev; est 2023 (3y); small(2-5); web+phone; school
80.5,Rinaldi School Bus Trnsprtn,NJ,1,100,9266000,,1,0,,100 emp; $9.3M rev; year n/a; single; phone; school
80.5,Lapeer Schools Transportation,MI,1,75,8023000,,1,0,,75 emp; $8.0M rev; year n/a; single; phone; school
80.5,School Student Transportation,PA,1,200,6753000,,1,0,,200 emp; $6.8M rev; year n/a; single; phone; school
80.5,East Chicago School Bus TRNSPR,IN,1,90,3858000,,1,0,,90 emp; $3.9M rev; year n/a; single; phone; school
80.5,Park Bethel School Trnsprtn,PA,1,75,3324000,,1,0,,75 emp; $3.3M rev; year n/a; single; phone; school
80.5,Garfield School Bus Trnsprtn,CO,1,45,3232000,,1,0,,45 emp; $3.2M rev; year n/a; single; phone; school
80.5,Xna Ruberi School Bus,FL,1,72,3200000,,1,0,,72 emp; $3.2M rev; year n/a; single; phone; school
80.5,Trombly School Bus,MA,1,23,2395000,,1,0,,23 emp; $2.4M rev; year n/a; single; phone; school
80.5,Upper Dublin School Trnsprtn,PA,1,50,2318000,,1,0,,50 emp; $2.3M rev; year n/a; single; phone; school
80.5,Hoyles School Transportation,IL,1,55,2308000,,1,0,,55 emp; $2.3M rev; year n/a; single; phone; school
80.5,M & G School Bus,NJ,1,41,2112000,,1,0,,41 emp; $2.1M rev; year n/a; single; phone; school
80.5,School Transportation Leasing,IL,1,44,2040000,,1,0,,44 emp; $2.0M rev; year n/a; single; phone; school
80.5,Michigan Central Sch Bus LLC,MI,1,41,1945000,,1,0,,41 emp; $1.9M rev; year n/a; single; phone; school
80.5,Get On The School Bus,CA,1,18,1901000,,1,0,,18 emp; $1.9M rev; year n/a; single; phone; school
80.5,Bluebonnett School Trnsprtn,TX,1,32,1772000,,1,0,,32 emp; $1.8M rev; year n/a; single; phone; school
80.5,Michigan School Bus,MI,1,40,1729000,,1,0,,40 emp; $1.7M rev; year n/a; single; phone; school
80.5,Bertila School Bus,TX,1,31,1717000,,1,0,,31 emp; $1.7M rev; year n/a; single; phone; school
80.5,Tona School Bus,TX,1,31,1717000,,1,0,,31 emp; $1.7M rev; year n/a; single; phone; school
80.5,DLM School Bus,IL,1,15,1657000,,1,0,,15 emp; $1.7M rev; year n/a; single; phone; school
80.5,Highland Schools Bus Trnsprtn,IN,1,38,1629000,,1,0,,38 emp; $1.6M rev; year n/a; single; phone; school
80.5,Licia School Bus,FL,1,16,1600000,,1,0,,16 emp; $1.6M rev; year n/a; single; phone; school
80.5,Dryden Cent School Trnsprtn,NY,1,40,1551000,,1,0,,40 emp; $1.6M rev; year n/a; single; phone; school
80.5,Sab School Transportation,NJ,1,30,1545000,,1,0,,30 emp; $1.5M rev; year n/a; single; phone; school
80.5,School Bus Safety Awareness,MI,1,31,1485000,,1,0,,31 emp; $1.5M rev; year n/a; single; phone; school
80.5,Louisville Schools Trnsprtn,OH,1,39,1482000,,1,0,,39 emp; $1.5M rev; year n/a; single; phone; school
80.5,Charter School Trnsprtn,MI,1,31,1471000,,1,0,,31 emp; $1.5M rev; year n/a; single; phone; school
80.5,My Yellow School Bus,LA,1,28,1468000,,1,0,,28 emp; $1.5M rev; year n/a; single; phone; school
80.5,Idalmys School Bus Trnsprtn,FL,1,33,1467000,,1,0,,33 emp; $1.5M rev; year n/a; single; phone; school
80.5,Ileana School Bus,FL,1,31,1378000,,1,0,,31 emp; $1.4M rev; year n/a; single; phone; school
80.5,Damas Service School Bus,FL,1,18,1360000,,1,0,,18 emp; $1.4M rev; year n/a; single; phone; school
80.5,School Bus Drivers For,TX,1,32,1343000,,1,0,,32 emp; $1.3M rev; year n/a; single; phone; school
80.5,Mindful Magical School Bus,CO,1,31,1301000,,1,0,,31 emp; $1.3M rev; year n/a; single; phone; school
80.5,TNS School Bus Operator Trnng,FL,1,31,1301000,,1,0,,31 emp; $1.3M rev; year n/a; single; phone; school
80.5,Caroline County Sch Bus Contrs,MD,1,31,1301000,,1,0,,31 emp; $1.3M rev; year n/a; single; phone; school
80.5,St Mary's County Sch Bus,MD,1,31,1301000,,1,0,,31 emp; $1.3M rev; year n/a; single; phone; school
80.5,Reading School Bus,NC,1,31,1301000,,1,0,,31 emp; $1.3M rev; year n/a; single; phone; school
80.5,Pre-School Trnsprtn Alliance,NY,1,31,1301000,,1,0,,31 emp; $1.3M rev; year n/a; single; phone; school
80.5,Carthage School Transportation,IL,1,30,1259000,,1,0,,30 emp; $1.3M rev; year n/a; single; phone; school
80.5,Union School Trnsprtn & Nemt,MN,1,31,1236000,,1,0,,31 emp; $1.2M rev; year n/a; single; phone; school
80.5,Chattooga Co Sch Dist Trnsprtn,GA,1,40,1235000,,1,0,,40 emp; $1.2M rev; year n/a; single; phone; school
80.5,SJP School Trnsprtn Speclsts,NY,1,25,1201000,,1,0,,25 emp; $1.2M rev; year n/a; single; phone; school
80.5,A1 School Bus,PA,1,25,1200000,,1,0,,25 emp; $1.2M rev; year n/a; single; phone; school
80.5,Rayco School Trnsprtn Inc,PA,1,31,1159000,,1,0,,31 emp; $1.2M rev; year n/a; single; phone; school
80.5,Scholastic School Bus,NY,1,28,1094000,,1,0,,28 emp; $1.1M rev; year n/a; single; phone; school
80.5,School Bus W/Flames Projecting,MN,1,25,1049000,,1,0,,25 emp; $1.0M rev; year n/a; single; phone; school
80.5,A Plus School Bus Trnsprtn,FL,1,22,1001000,,1,0,,22 emp; $1.0M rev; year n/a; single; phone; school
80.5,Red Bus Pickup School Trnsprtn,FL,1,18,756000,2018,1,0,Redbuspickup.Com,18 emp; $0.8M rev; est 2018 (8y); single; web+phone; school
79.0,Krapf School Bus,PA,12,1188,53329000,1939,1,0,Krapfbus.Com,1188 emp; $53.3M rev; est 1939 (87y); mid(6-14); web+phone; school
78.5,South FL School Transportation,FL,1,60,2728000,2016,1,0,,60 emp; $2.7M rev; est 2016 (10y); single; phone; school
78.5,Lopez School Bus Seat Svc,TX,1,32,1772000,2015,1,0,,32 emp; $1.8M rev; est 2015 (11y); single; phone; school
78.5,Magic Little People School Bus,TX,1,32,1772000,2017,1,0,,32 emp; $1.8M rev; est 2017 (9y); single; phone; school
78.5,Nancy Perez School Bus,TX,1,32,1772000,2017,1,0,,32 emp; $1.8M rev; est 2017 (9y); single; phone; school
78.5,R & M School Bus,TX,1,32,1772000,2016,1,0,,32 emp; $1.8M rev; est 2016 (10y); single; phone; school
78.5,Swart School Buses,PA,1,28,0,,1,0,,28 emp; rev n/a; year n/a; single; phone; school
78.0,Jay School Transportation,IN,1,10,249000,,1,0,Jayschoolcorp.Org,10 emp; $0.2M rev; year n/a; single; web+phone; school
77.5,Sundae School Bus,OH,2,37,1557000,,1,0,,37 emp; $1.6M rev; year n/a; small(2-5); phone; school
77.5,School Transportation Conslnts,ID,2,40,1382000,,1,0,,40 emp; $1.4M rev; year n/a; small(2-5); phone; school
77.5,School Transportation Solution,AL,1,12,519000,2019,1,0,Sts-Transportation.Com,12 emp; $0.5M rev; est 2019 (7y); single; web+phone; school
76.0,St Bernard School Trnsprtn,LA,1,5,1677000,,1,0,Yankeecandle.Com,5 emp; $1.7M rev; year n/a; single; web+phone; school
76.0,East Washington School Corp,IN,1,5,1390000,,1,0,Ewsc.K12.In.Us,5 emp; $1.4M rev; year n/a; single; web+phone; school
76.0,Gorham Schools Transportation,ME,1,5,1104000,,1,0,Gorhamschools.Org,5 emp; $1.1M rev; year n/a; single; web+phone; school
76.0,Schoolman Transportation Syst,NY,1,7,1004000,,1,0,Classictrans.Com,7 emp; $1.0M rev; year n/a; single; web+phone; school
75.5,Noblesville Schools TRNSPRTN,IN,1,59,2804000,2022,1,0,,59 emp; $2.8M rev; est 2022 (4y); single; phone; school
75.5,Mani Private School Trnsprtn,FL,1,32,1423000,2024,1,0,,32 emp; $1.4M rev; est 2024 (2y); single; phone; school
