track,a_rank,bench_rank,company,factor,reason,sub_sector,scale_tier,geo
BENCH,,1140,BJ Enterprise Limo Svc In,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1141,July Limo Svc,size_margin_signal,no_verified_fleet,S,<50,NJ
BENCH,,1141,July Limo Svc,driver_market_risk,national_only_no_state_signal,S,<50,NJ
BENCH,,1141,July Limo Svc,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1142,Kehns Limousine,size_margin_signal,no_verified_fleet,S,<50,MN
BENCH,,1142,Kehns Limousine,driver_market_risk,national_only_no_state_signal,S,<50,MN
BENCH,,1142,Kehns Limousine,outsourcing_ev_mandate,no_state_signal,S,<50,MN
BENCH,,1143,Liberty Limousines,size_margin_signal,no_verified_fleet,S,<50,WA
BENCH,,1143,Liberty Limousines,driver_market_risk,national_only_no_state_signal,S,<50,WA
BENCH,,1143,Liberty Limousines,outsourcing_ev_mandate,no_state_signal,S,<50,WA
BENCH,,1144,Limousine Xpress,driver_market_risk,national_only_no_state_signal,S,<50,CA
BENCH,,1145,Avid Limousine Co,driver_market_risk,national_only_no_state_signal,S,<50,OR
BENCH,,1145,Avid Limousine Co,outsourcing_ev_mandate,no_state_signal,S,<50,OR
BENCH,,1146,Any Time Bus Co Inc,driver_market_risk,national_only_no_state_signal,Y,<50,NY
BENCH,,1147,EZ Bus LLC,driver_market_risk,national_only_no_state_signal,Y,<50,AZ
BENCH,,1147,EZ Bus LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,AZ
BENCH,,1148,Joseph L Hamilton Sch Bus Svc,driver_market_risk,national_only_no_state_signal,Y,<50,OH
BENCH,,1148,Joseph L Hamilton Sch Bus Svc,outsourcing_ev_mandate,no_state_signal,Y,<50,OH
BENCH,,1149,Eagle International Bus LLC,driver_market_risk,national_only_no_state_signal,Y,<50,TX
BENCH,,1149,Eagle International Bus LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,TX
BENCH,,1150,Big Grey Bus LLC,driver_market_risk,national_only_no_state_signal,Y,<50,CO
BENCH,,1150,Big Grey Bus LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,CO
BENCH,,1151,Metro West Limousine,driver_market_risk,national_only_no_state_signal,S,<50,MD
BENCH,,1151,Metro West Limousine,outsourcing_ev_mandate,no_state_signal,S,<50,MD
BENCH,,1152,Big Blu Bus LLC,driver_market_risk,national_only_no_state_signal,Y,<50,CO
BENCH,,1152,Big Blu Bus LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,CO
BENCH,,1153,Ohio School Bus SVC LLC,driver_market_risk,national_only_no_state_signal,Y,<50,OH
BENCH,,1153,Ohio School Bus SVC LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,OH
BENCH,,1154,Island Limousine,driver_market_risk,national_only_no_state_signal,S,<50,NJ
BENCH,,1154,Island Limousine,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1155,School Plus Shuttle LLC,driver_market_risk,national_only_no_state_signal,Y,<50,TX
BENCH,,1155,School Plus Shuttle LLC,outsourcing_ev_mandate,no_state_signal,Y,<50,TX
BENCH,,1156,Bay Area Transportation Sltns,driver_market_risk,national_only_no_state_signal,Y,<50,CA
BENCH,,1157,Devon-North Town Bus & Pro,driver_market_risk,national_only_no_state_signal,Y,<50,IL
BENCH,,1157,Devon-North Town Bus & Pro,outsourcing_ev_mandate,no_state_signal,Y,<50,IL
BENCH,,1158,Woods Logistics LLC,driver_market_risk,national_only_no_state_signal,S,<50,VA
BENCH,,1158,Woods Logistics LLC,outsourcing_ev_mandate,no_state_signal,S,<50,VA
BENCH,,1159,Special Tuch Limosne Sedan Svc,driver_market_risk,national_only_no_state_signal,S,<50,MI
BENCH,,1159,Special Tuch Limosne Sedan Svc,outsourcing_ev_mandate,no_state_signal,S,<50,MI
BENCH,,1160,Delegance Limousine Svc,driver_market_risk,national_only_no_state_signal,S,<50,TX
BENCH,,1160,Delegance Limousine Svc,outsourcing_ev_mandate,no_state_signal,S,<50,TX
BENCH,,1161,Chris Limousine Svc Inc,driver_market_risk,national_only_no_state_signal,S,<50,NJ
BENCH,,1161,Chris Limousine Svc Inc,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1162,Pristine Limousine,driver_market_risk,national_only_no_state_signal,S,<50,NJ
BENCH,,1162,Pristine Limousine,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1163,Crown Limousine Svc,driver_market_risk,national_only_no_state_signal,S,<50,NH
BENCH,,1163,Crown Limousine Svc,outsourcing_ev_mandate,no_state_signal,S,<50,NH
BENCH,,1164,Star Limousine Svc,driver_market_risk,national_only_no_state_signal,S,<50,CA
BENCH,,1165,Boston Mass Transportation Inc,driver_market_risk,national_only_no_state_signal,S,<50,MA
BENCH,,1165,Boston Mass Transportation Inc,outsourcing_ev_mandate,no_state_signal,S,<50,MA
BENCH,,1166,CA Limousine Svc Inc,driver_market_risk,national_only_no_state_signal,S,<50,NJ
BENCH,,1166,CA Limousine Svc Inc,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1167,A & B Limousine Svc LTD,driver_market_risk,national_only_no_state_signal,S,<50,IL
BENCH,,1167,A & B Limousine Svc LTD,outsourcing_ev_mandate,no_state_signal,S,<50,IL
BENCH,,1168,Colesco Limo,driver_market_risk,national_only_no_state_signal,S,<50,IL
BENCH,,1168,Colesco Limo,outsourcing_ev_mandate,no_state_signal,S,<50,IL
BENCH,,1169,On Demand Paratransit,driver_market_risk,national_only_no_state_signal,S,<50,TN
BENCH,,1169,On Demand Paratransit,outsourcing_ev_mandate,no_state_signal,S,<50,TN
BENCH,,1170,A+kids School Bus Svc LLC,driver_market_risk,national_only_no_state_signal,Y,<50,FL
BENCH,,1171,Transworld Limo Svc,driver_market_risk,national_only_no_state_signal,S,<50,TX
BENCH,,1171,Transworld Limo Svc,outsourcing_ev_mandate,no_state_signal,S,<50,TX
BENCH,,1172,Eps Limo Inc,driver_market_risk,national_only_no_state_signal,S,<50,IL
BENCH,,1172,Eps Limo Inc,outsourcing_ev_mandate,no_state_signal,S,<50,IL
BENCH,,1173,Pyramids Radwan Express Limo,driver_market_risk,national_only_no_state_signal,S,<50,NJ
BENCH,,1173,Pyramids Radwan Express Limo,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1174,United Limousine Svc,driver_market_risk,national_only_no_state_signal,S,<50,TX
BENCH,,1174,United Limousine Svc,outsourcing_ev_mandate,no_state_signal,S,<50,TX
BENCH,,1175,Toms Limo,driver_market_risk,national_only_no_state_signal,S,<50,MI
BENCH,,1175,Toms Limo,outsourcing_ev_mandate,no_state_signal,S,<50,MI
BENCH,,1176,Lele Services LLC,size_margin_signal,no_verified_fleet,S,<50,UT
BENCH,,1176,Lele Services LLC,succession,no_founded_year,S,<50,UT
BENCH,,1176,Lele Services LLC,driver_market_risk,national_only_no_state_signal,S,<50,UT
BENCH,,1177,Accessible Transit Svc,size_margin_signal,no_verified_fleet,S,<50,NV
BENCH,,1177,Accessible Transit Svc,succession,no_founded_year,S,<50,NV
BENCH,,1177,Accessible Transit Svc,driver_market_risk,national_only_no_state_signal,S,<50,NV
BENCH,,1177,Accessible Transit Svc,outsourcing_ev_mandate,no_state_signal,S,<50,NV
BENCH,,1178,School Bus System,size_margin_signal,no_verified_fleet,Y,<50,CA
BENCH,,1178,School Bus System,succession,no_founded_year,Y,<50,CA
BENCH,,1178,School Bus System,driver_market_risk,national_only_no_state_signal,Y,<50,CA
BENCH,,1179,Drakeford Transportation Svc,size_margin_signal,no_verified_fleet,Y,<50,NJ
BENCH,,1179,Drakeford Transportation Svc,succession,no_founded_year,Y,<50,NJ
BENCH,,1179,Drakeford Transportation Svc,driver_market_risk,national_only_no_state_signal,Y,<50,NJ
BENCH,,1179,Drakeford Transportation Svc,outsourcing_ev_mandate,no_state_signal,Y,<50,NJ
BENCH,,1180,Bus-B-Q,size_margin_signal,no_verified_fleet,Y,<50,CA
BENCH,,1180,Bus-B-Q,succession,no_founded_year,Y,<50,CA
BENCH,,1180,Bus-B-Q,driver_market_risk,national_only_no_state_signal,Y,<50,CA
BENCH,,1181,Kang Transportation,size_margin_signal,no_verified_fleet,Y,<50,MD
BENCH,,1181,Kang Transportation,succession,no_founded_year,Y,<50,MD
BENCH,,1181,Kang Transportation,driver_market_risk,national_only_no_state_signal,Y,<50,MD
BENCH,,1181,Kang Transportation,outsourcing_ev_mandate,no_state_signal,Y,<50,MD
BENCH,,1182,Brinc Bus Systems Of Chrleston,size_margin_signal,no_verified_fleet,Y,<50,SC
BENCH,,1182,Brinc Bus Systems Of Chrleston,succession,no_founded_year,Y,<50,SC
BENCH,,1182,Brinc Bus Systems Of Chrleston,driver_market_risk,national_only_no_state_signal,Y,<50,SC
BENCH,,1182,Brinc Bus Systems Of Chrleston,outsourcing_ev_mandate,no_state_signal,Y,<50,SC
BENCH,,1183,Lansing School Bus Svc,size_margin_signal,no_verified_fleet,Y,<50,KS
BENCH,,1183,Lansing School Bus Svc,succession,no_founded_year,Y,<50,KS
