track,a_rank,bench_rank,company,factor,reason,sub_sector,scale_tier,geo
BENCH,,1228,N J Limousine Svc,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1229,V I P III Trnsp & Limosne,size_margin_signal,no_verified_fleet,S,<50,TX
BENCH,,1229,V I P III Trnsp & Limosne,driver_market_risk,national_only_no_state_signal,S,<50,TX
BENCH,,1229,V I P III Trnsp & Limosne,outsourcing_ev_mandate,no_state_signal,S,<50,TX
BENCH,,1230,Chucks VIP Limo Svc,size_margin_signal,no_verified_fleet,S,<50,NJ
BENCH,,1230,Chucks VIP Limo Svc,driver_market_risk,national_only_no_state_signal,S,<50,NJ
BENCH,,1230,Chucks VIP Limo Svc,outsourcing_ev_mandate,no_state_signal,S,<50,NJ
BENCH,,1231,Dynasty Limo Svc,size_margin_signal,no_verified_fleet,S,<50,MN
BENCH,,1231,Dynasty Limo Svc,driver_market_risk,national_only_no_state_signal,S,<50,MN
BENCH,,1231,Dynasty Limo Svc,outsourcing_ev_mandate,no_state_signal,S,<50,MN
