a_rank,slug,company,state,hq,fleet_buses,founded,composite,folder,researched,research_date,packet_path,facts_path,draft_path,reviewed,sent,notes
880,0880-caring-heart-transport-llc,Caring Heart Transport LLC,WI,"Janesville, WI",,2004,66.5,6_targets/0880-caring-heart-transport-llc,0,,,,,0,0,
881,0881-old-school-transportation-svc,Old School Transportation Svc,IL,"Waukegan, IL",,2004,66.5,6_targets/0881-old-school-transportation-svc,0,,,,,0,0,
882,0882-pro-trans-school-trnsprtn-llc,Pro Trans School Trnsprtn LLC,NJ,"Hackensack, NJ",,2008,66.5,6_targets/0882-pro-trans-school-trnsprtn-llc,0,,,,,0,0,
883,0883-touchwood-transportation-inc,Touchwood Transportation Inc,MD,"Baltimore, MD",,2008,66.5,6_targets/0883-touchwood-transportation-inc,0,,,,,0,0,
884,0884-rochon-s-bus-svc-inc,Rochon's Bus Svc Inc,MI,"Norway, MI",,2002,66.5,6_targets/0884-rochon-s-bus-svc-inc,0,,,,,0,0,
885,0885-h-m-ramirez-bus-co-inc,H M Ramirez Bus Co Inc,NM,"Hobbs, NM",,2008,66.5,6_targets/0885-h-m-ramirez-bus-co-inc,0,,,,,0,0,
886,0886-canby-lancers-bus-svc-inc,Canby Lancers Bus Svc Inc,MN,"Hanley Falls, MN",,2006,66.5,6_targets/0886-canby-lancers-bus-svc-inc,0,,,,,0,0,
887,0887-fulda-bus-svc-inc,Fulda Bus Svc Inc,MN,"Hanley Falls, MN",,2006,66.5,6_targets/0887-fulda-bus-svc-inc,0,,,,,0,0,
888,0888-citicare-inc,Citicare Inc,IL,"Lake Zurich, IL",,2011,66.5,6_targets/0888-citicare-inc,0,,,,,0,0,
889,0889-medi-van-of-green-bay,Medi-Van Of Green Bay,WI,"Green Bay, WI",6,2018,66.2,6_targets/0889-medi-van-of-green-bay,0,,,,,0,0,
890,0890-5-on-4-wheels-trnsprtn-llc,5 On 4 Wheels Trnsprtn LLC,NC,"Greensboro, NC",5,2018,66.2,6_targets/0890-5-on-4-wheels-trnsprtn-llc,0,,,,,0,0,
891,0891-visions-door-2-door-sch,Visions Door 2 Door Sch,IL,"Calumet City, IL",7,2021,66.2,6_targets/0891-visions-door-2-door-sch,0,,,,,0,0,
892,0892-ber-ber-transport-llc,Ber Ber Transport LLC,NJ,"East Orange, NJ",8,2023,66.2,6_targets/0892-ber-ber-transport-llc,0,,,,,0,0,
893,0893-stars-limo-inc,Stars Limo Inc,CA,"Downey, CA",1,2015,66.0,6_targets/0893-stars-limo-inc,0,,,,,0,0,
894,0894-integrated-maintenance-bus,Integrated Maintenance & Bus,VA,"Locust Grove, VA",1,2018,66.0,6_targets/0894-integrated-maintenance-bus,0,,,,,0,0,
895,0895-big-star-transit-llc,Big Star Transit LLC,TX,"Dallas, TX",1,2013,66.0,6_targets/0895-big-star-transit-llc,0,,,,,0,0,
896,0896-furlegan-management-llc,Furlegan Management LLC,SC,"Easley, SC",1,2012,66.0,6_targets/0896-furlegan-management-llc,0,,,,,0,0,
897,0897-t-lc-transportation,T LC Transportation,OH,"Toledo, OH",1,2017,66.0,6_targets/0897-t-lc-transportation,0,,,,,0,0,
898,0898-charlotte-metro-trnsprtn-llp,Charlotte Metro Trnsprtn LLP,NC,"Charlotte, NC",3,2013,66.0,6_targets/0898-charlotte-metro-trnsprtn-llp,0,,,,,0,0,
899,0899-brumant-medical-trnsprtn-svc,Brumant Medical Trnsprtn Svc,NC,"Burlington, NC",4,2013,66.0,6_targets/0899-brumant-medical-trnsprtn-svc,0,,,,,0,0,
900,0900-jade-limousine-svc,Jade Limousine Svc,CA,"Riverside, CA",1,2015,66.0,6_targets/0900-jade-limousine-svc,0,,,,,0,0,
901,0901-top-limo-svc,Top Limo Svc,WA,"Seatac, WA",2,2014,66.0,6_targets/0901-top-limo-svc,0,,,,,0,0,
902,0902-a-legacy-limousine-svc,A Legacy Limousine Svc,CA,"South San Francisco, CA",2,2015,66.0,6_targets/0902-a-legacy-limousine-svc,0,,,,,0,0,
903,0903-c-j-logistics-trnsprtn-svc-llc,C J Logistics Trnsprtn Svc LLC,TX,"Fort Worth, TX",1,2014,66.0,6_targets/0903-c-j-logistics-trnsprtn-svc-llc,0,,,,,0,0,
904,0904-alaska-mobility-transit-llc,Alaska Mobility Transit LLC,AK,"Anchorage, AK",1,2014,66.0,6_targets/0904-alaska-mobility-transit-llc,0,,,,,0,0,
905,0905-redi-rides-of-alaska,Redi-Rides Of Alaska,AK,"Wasilla, AK",4,2012,66.0,6_targets/0905-redi-rides-of-alaska,0,,,,,0,0,
906,0906-p-m-transportation,P M Transportation,GA,"Fayetteville, GA",3,2015,66.0,6_targets/0906-p-m-transportation,0,,,,,0,0,
907,0907-comfort-transit-svc,Comfort Transit Svc,CA,"Monterey Park, CA",1,2015,66.0,6_targets/0907-comfort-transit-svc,0,,,,,0,0,
908,0908-eagle-special-transportation,Eagle Special Transportation,MN,"Ogilvie, MN",1,2013,66.0,6_targets/0908-eagle-special-transportation,0,,,,,0,0,
909,0909-kastone-mobility-svc-llc,Kastone Mobility Svc LLC,MN,"Brooklyn Park, MN",1,2014,66.0,6_targets/0909-kastone-mobility-svc-llc,0,,,,,0,0,
910,0910-class-act-limo-svc-inc,Class Act Limo Svc Inc,NJ,"Hillsborough, NJ",1,2017,66.0,6_targets/0910-class-act-limo-svc-inc,0,,,,,0,0,
911,0911-e-a-car-svc-inc,E A Car Svc Inc,NJ,"Old Bridge, NJ",4,2018,66.0,6_targets/0911-e-a-car-svc-inc,0,,,,,0,0,
912,0912-speedy-van,Speedy Van,MN,"Oak Park, MN",3,2013,66.0,6_targets/0912-speedy-van,0,,,,,0,0,
913,0913-bostic-limousine,Bostic Limousine,CA,"Menlo Park, CA",2,2015,66.0,6_targets/0913-bostic-limousine,0,,,,,0,0,
914,0914-currys-spotlight-limousine-se,Currys Spotlight Limousine SE,TX,"Dallas, TX",2,2013,66.0,6_targets/0914-currys-spotlight-limousine-se,0,,,,,0,0,
915,0915-rng-transport-inc,RNG Transport Inc,NJ,,,,66.0,6_targets/0915-rng-transport-inc,0,,,,,0,0,
916,0916-roberts-hawaii,Roberts Hawaii,HI,"Honolulu, HI",473,1941,65.8,6_targets/0916-roberts-hawaii,0,,,,,0,0,
917,0917-renali-transport,Renali Transport,MI,"Southfield, MI",2,2010,65.5,6_targets/0917-renali-transport,0,,,,,0,0,
918,0918-m-d-transportation-charter,M D Transportation & Charter,NV,"Las Vegas, NV",1,2007,65.5,6_targets/0918-m-d-transportation-charter,0,,,,,0,0,
919,0919-royal-silver-wheelchair,Royal Silver Wheelchair,FL,"Plant City, FL",,2016,65.5,6_targets/0919-royal-silver-wheelchair,0,,,,,0,0,
920,0920-ride-with-class-wheelchair,Ride With Class Wheelchair,FL,"Dade City, FL",,2017,65.5,6_targets/0920-ride-with-class-wheelchair,0,,,,,0,0,
921,0921-alc-transportation-llc,ALC Transportation LLC,FL,"Debary, FL",,2018,65.5,6_targets/0921-alc-transportation-llc,0,,,,,0,0,
922,0922-elderide-transport-inc,Elderide Transport Inc,NY,,,2015,65.5,6_targets/0922-elderide-transport-inc,0,,,,,0,0,
923,0923-adams-pa-trnsprtn-llc,Adams PA Trnsprtn LLC,PA,"Hazleton, PA",,2018,65.5,6_targets/0923-adams-pa-trnsprtn-llc,0,,,,,0,0,
924,0924-northeast-charter-sch-bus-svc,Northeast Charter Sch Bus Svc,ME,"Auburn, ME",,1999,65.5,6_targets/0924-northeast-charter-sch-bus-svc,0,,,,,0,0,
925,0925-nostalgia-limo,Nostalgia Limo,MD,"Gwynn Oak, MD",,2025,65.5,6_targets/0925-nostalgia-limo,0,,,,,0,0,
926,0926-caregiver-assist-trnsprtn,Caregiver Assist Trnsprtn,GA,"Covington, GA",,2014,65.5,6_targets/0926-caregiver-assist-trnsprtn,0,,,,,0,0,
927,0927-constance-wheelchair-trnsprtn,Constance Wheelchair Trnsprtn,FL,"Coral Springs, FL",,2017,65.5,6_targets/0927-constance-wheelchair-trnsprtn,0,,,,,0,0,
928,0928-wheelchair-transportation-svc,Wheelchair Transportation Svc,NY,"New York, NY",,2016,65.5,6_targets/0928-wheelchair-transportation-svc,0,,,,,0,0,
929,0929-d-n-bus-svc-inc,D & N Bus Svc Inc,DE,"Milford, DE",,1995,65.5,6_targets/0929-d-n-bus-svc-inc,0,,,,,0,0,
930,0930-eagle-cabulance-llc,Eagle Cabulance LLC,WA,"Seattle, WA",,2009,65.0,6_targets/0930-eagle-cabulance-llc,0,,,,,0,0,
931,0931-holt-transport,Holt Transport,MI,"Saginaw, MI",,2010,65.0,6_targets/0931-holt-transport,0,,,,,0,0,
932,0932-powell-transportation-llc,Powell Transportation LLC,TN,"Dyersburg, TN",,2005,65.0,6_targets/0932-powell-transportation-llc,0,,,,,0,0,
933,0933-pearl-transit-corp,Pearl Transit Corp,NJ,"Alloway, NJ",,2005,65.0,6_targets/0933-pearl-transit-corp,0,,,,,0,0,
934,0934-angel-wheels-transportation,Angel Wheels Transportation,IL,,,2006,65.0,6_targets/0934-angel-wheels-transportation,0,,,,,0,0,
935,0935-famiks-transport-inc,Famiks Transport Inc,NC,"Fayetteville, NC",,2002,65.0,6_targets/0935-famiks-transport-inc,0,,,,,0,0,
936,0936-castle-car-svc,Castle Car Svc,MI,"Bath, MI",,2002,65.0,6_targets/0936-castle-car-svc,0,,,,,0,0,
937,0937-dispatch-contract-llc,Dispatch Contract LLC,WA,"Silverdale, WA",,2011,65.0,6_targets/0937-dispatch-contract-llc,0,,,,,0,0,
938,0938-beaver-transportation-inc-buzy,Beaver Transportation Inc Buzy,IL,"Chicago, IL",,2010,65.0,6_targets/0938-beaver-transportation-inc-buzy,0,,,,,0,0,
939,0939-care-e-me-wheelchair,Care E Me Wheelchair,WA,,,2010,65.0,6_targets/0939-care-e-me-wheelchair,0,,,,,0,0,
940,0940-urmi-transportation,Urmi Transportation,CA,"Simi Valley, CA",,2003,65.0,6_targets/0940-urmi-transportation,0,,,,,0,0,
941,0941-waytogo-wheelchair-transport,Waytogo Wheelchair Transport,OR,"Bend, OR",,2007,65.0,6_targets/0941-waytogo-wheelchair-transport,0,,,,,0,0,
942,0942-dallas-wheelchair-ride,Dallas Wheelchair Ride,TX,"Mckinney, TX",,2011,65.0,6_targets/0942-dallas-wheelchair-ride,0,,,,,0,0,
943,0943-specialty-transport,Specialty Transport,WA,"Spokane, WA",,2002,65.0,6_targets/0943-specialty-transport,0,,,,,0,0,
944,0944-roman-limo-svc,Roman Limo Svc,MI,"Keego Harbor, MI",,2008,65.0,6_targets/0944-roman-limo-svc,0,,,,,0,0,
945,0945-tobi-transportation-llc,Tobi Transportation LLC,OH,"Cleveland, OH",,2009,65.0,6_targets/0945-tobi-transportation-llc,0,,,,,0,0,
946,0946-charles-limo,Charles Limo,MI,"Mount Clemens, MI",,2008,65.0,6_targets/0946-charles-limo,0,,,,,0,0,
947,0947-on-time-limousine-svc-inc,On Time Limousine Svc Inc,MI,"Sterling Heights, MI",,2010,65.0,6_targets/0947-on-time-limousine-svc-inc,0,,,,,0,0,
948,0948-rainbow-limousine-svc,Rainbow Limousine Svc,MI,"Saint Clair Shores, MI",,2009,65.0,6_targets/0948-rainbow-limousine-svc,0,,,,,0,0,
949,0949-tammie-s-helping-hands-trnsptn,Tammie's Helping Hands TRNSPTN,OR,,,2010,65.0,6_targets/0949-tammie-s-helping-hands-trnsptn,0,,,,,0,0,
950,0950-medxpress,Medxpress,CA,"Fairfield, CA",,2008,65.0,6_targets/0950-medxpress,0,,,,,0,0,
951,0951-bus-service-kik,Bus Service KIK,FL,,,2010,65.0,6_targets/0951-bus-service-kik,0,,,,,0,0,
952,0952-vcare-medical-trnsprtn-inc,Vcare Medical Trnsprtn Inc,IL,"Glenview, IL",,2006,65.0,6_targets/0952-vcare-medical-trnsprtn-inc,0,,,,,0,0,
953,0953-priority-care-wheelchair-trnst,Priority Care Wheelchair Trnst,TX,"Lake Dallas, TX",,2009,65.0,6_targets/0953-priority-care-wheelchair-trnst,0,,,,,0,0,
954,0954-action-mobility-trnsprtn-svc,Action Mobility Trnsprtn Svc,NJ,"Neptune, NJ",,2008,65.0,6_targets/0954-action-mobility-trnsprtn-svc,0,,,,,0,0,
955,0955-kumar-transport,Kumar Transport,CA,"Stockton, CA",,2007,65.0,6_targets/0955-kumar-transport,0,,,,,0,0,
956,0956-safe-wheelchair-transport,Safe Wheelchair Transport,TX,"Dallas, TX",,2011,65.0,6_targets/0956-safe-wheelchair-transport,0,,,,,0,0,
957,0957-three-points-inc,Three Points Inc,MD,"Boyds, MD",,2009,65.0,6_targets/0957-three-points-inc,0,,,,,0,0,
958,0958-hellenic-limo,Hellenic Limo,NJ,"Shrewsbury, NJ",,2011,65.0,6_targets/0958-hellenic-limo,0,,,,,0,0,
959,0959-schumacher-transportation-llc,Schumacher Transportation LLC,MN,"Oak Park, MN",,2004,65.0,6_targets/0959-schumacher-transportation-llc,0,,,,,0,0,
960,0960-tnt-transportation-svc,TNT Transportation Svc,VA,"Glen Allen, VA",8,2013,64.8,6_targets/0960-tnt-transportation-svc,0,,,,,0,0,
961,0961-kid-ridez-fleet-llc,Kid Ridez Fleet LLC,DE,"Wilmington, DE",7,2019,64.8,6_targets/0961-kid-ridez-fleet-llc,0,,,,,0,0,
962,0962-united-bus-svc-llc,United Bus Svc LLC,MN,"Saint Paul, MN",8,2021,64.8,6_targets/0962-united-bus-svc-llc,0,,,,,0,0,
963,0963-fast-bus-svc-llc,Fast Bus Svc LLC,MN,"Bloomington, MN",8,2023,64.8,6_targets/0963-fast-bus-svc-llc,0,,,,,0,0,
964,0964-bath-bus-svc,Bath Bus Svc,ME,"Bath, ME",8,2023,64.8,6_targets/0964-bath-bus-svc,0,,,,,0,0,
965,0965-champion-limousine-inc,Champion Limousine Inc,TX,"Wimberley, TX",5,2012,64.8,6_targets/0965-champion-limousine-inc,0,,,,,0,0,
966,0966-drivergent,Drivergent,MI,"Fraser, MI",1,2019,64.5,6_targets/0966-drivergent,0,,,,,0,0,
967,0967-lone-star-school-bus-svc-llc,Lone Star School Bus SVC LLC,TX,"Rockdale, TX",1,2023,64.5,6_targets/0967-lone-star-school-bus-svc-llc,0,,,,,0,0,
968,0968-school-link-transportation-llc,School Link Transportation LLC,MN,"Minneapolis, MN",3,2021,64.5,6_targets/0968-school-link-transportation-llc,0,,,,,0,0,
969,0969-first-step-trans-thomas-buses,First Step Trans/Thomas Buses,NY,"Brooklyn, NY",2,2012,64.5,6_targets/0969-first-step-trans-thomas-buses,0,,,,,0,0,
970,0970-aventurine-school-trnsprtn-llc,Aventurine School TRNSPRTN LLC,CA,"San Fernando, CA",1,2021,64.5,6_targets/0970-aventurine-school-trnsprtn-llc,0,,,,,0,0,
971,0971-kids-express-school-bus-inc,Kids-Express School Bus Inc,FL,"Miami, FL",1,2015,64.5,6_targets/0971-kids-express-school-bus-inc,0,,,,,0,0,
972,0972-kyle-b-flook-school-bus-llc,Kyle B Flook School Bus LLC,PA,"Gettysburg, PA",1,2015,64.5,6_targets/0972-kyle-b-flook-school-bus-llc,0,,,,,0,0,
973,0973-niurka-s-school-bus-trnsprtn,Niurka's School Bus Trnsprtn,FL,"Hialeah, FL",3,2012,64.5,6_targets/0973-niurka-s-school-bus-trnsprtn,0,,,,,0,0,
974,0974-victor-elvia-school-bus-corp,Victor & Elvia School Bus Corp,FL,"Miami Gardens, FL",2,2012,64.5,6_targets/0974-victor-elvia-school-bus-corp,0,,,,,0,0,
975,0975-quality-school-bus-svc,Quality School Bus Svc,FL,"Miami, FL",1,2015,64.5,6_targets/0975-quality-school-bus-svc,0,,,,,0,0,
976,0976-mycareride-llc,Mycareride LLC,OH,"Columbus, OH",,,64.5,6_targets/0976-mycareride-llc,0,,,,,0,0,
977,0977-school-dayz-transportation,School Dayz Transportation,NJ,"Parlin, NJ",,,64.5,6_targets/0977-school-dayz-transportation,0,,,,,0,0,
978,0978-rader-nellie-m,"Rader, Nellie M",MD,"Oldtown, MD",,,64.5,6_targets/0978-rader-nellie-m,0,,,,,0,0,
979,0979-joyces-school-bus-transport,Joyces School Bus Transport,MD,"Olney, MD",,,64.5,6_targets/0979-joyces-school-bus-transport,0,,,,,0,0,
980,0980-bev-s-school-trnsprtn-llc,Bev's School Trnsprtn LLC,OH,"Akron, OH",,,64.5,6_targets/0980-bev-s-school-trnsprtn-llc,0,,,,,0,0,
981,0981-wahington-school-bus-lines,Wahington School Bus Lines,TN,"Knoxville, TN",,,64.5,6_targets/0981-wahington-school-bus-lines,0,,,,,0,0,
982,0982-h-k-school-transportation,H & K School Transportation,NJ,"Mahwah, NJ",,,64.5,6_targets/0982-h-k-school-transportation,0,,,,,0,0,
983,0983-propps-school-buses-llc,Propps School Buses LLC,NM,"Fort Sumner, NM",,,64.5,6_targets/0983-propps-school-buses-llc,0,,,,,0,0,
984,0984-cochran-bus-co-inc,Cochran Bus Co Inc,MD,"Forest Hill, MD",,,64.5,6_targets/0984-cochran-bus-co-inc,0,,,,,0,0,
985,0985-milsaps-bus-lines,Milsaps Bus Lines,TN,"Knoxville, TN",,,64.5,6_targets/0985-milsaps-bus-lines,0,,,,,0,0,
986,0986-frye-transportation-svc,Frye Transportation Svc,MD,"Leonardtown, MD",,,64.5,6_targets/0986-frye-transportation-svc,0,,,,,0,0,
987,0987-scrapbook-school-bus-llc,Scrapbook School Bus LLC,MI,"Macomb, MI",,,64.5,6_targets/0987-scrapbook-school-bus-llc,0,,,,,0,0,
988,0988-missouri-central-bus,Missouri Central Bus,IL,"Chicago, IL",635,1986,64.2,6_targets/0988-missouri-central-bus,0,,,,,0,0,
989,0989-school-time-trnsprtn-child-cr,School Time Trnsprtn-Child Cr,TX,"Houston, TX",2,2004,64.0,6_targets/0989-school-time-trnsprtn-child-cr,0,,,,,0,0,
990,0990-american-star-trnsprtn-llc,American Star Trnsprtn LLC,NJ,"Paterson, NJ",1,2007,64.0,6_targets/0990-american-star-trnsprtn-llc,0,,,,,0,0,
991,0991-wilbraham-school-trans-inc,Wilbraham School Trans Inc,MA,"Wilbraham, MA",1,2011,64.0,6_targets/0991-wilbraham-school-trans-inc,0,,,,,0,0,
992,0992-john-champagne-bus-svc,John Champagne Bus Svc,TN,"Signal Mountain, TN",2,2005,64.0,6_targets/0992-john-champagne-bus-svc,0,,,,,0,0,
993,0993-quick-service-transportation,Quick Service Transportation,WI,"Milwaukee, WI",1,2004,64.0,6_targets/0993-quick-service-transportation,0,,,,,0,0,
994,0994-blessed-qualified-transport,Blessed & Qualified Transport,WI,"Milwaukee, WI",1,2003,64.0,6_targets/0994-blessed-qualified-transport,0,,,,,0,0,
995,0995-wheelchair-taxi-transportation,Wheelchair Taxi-Transportation,WI,"Sheboygan, WI",,1987,64.0,6_targets/0995-wheelchair-taxi-transportation,0,,,,,0,0,
996,0996-sheyenne-transport-llc,Sheyenne Transport LLC,SD,"Webster, SD",,2015,64.0,6_targets/0996-sheyenne-transport-llc,0,,,,,0,0,
997,0997-ofelia-s-school-transportation,Ofelia's School Transportation,FL,"Naples, FL",,2019,64.0,6_targets/0997-ofelia-s-school-transportation,0,,,,,0,0,
998,0998-assisted-transportation-corp,Assisted Transportation Corp,NY,"Mount Vernon, NY",1,2012,63.0,6_targets/0998-assisted-transportation-corp,0,,,,,0,0,
999,0999-atlanta-metro-transport-svc,Atlanta Metro Transport Svc,GA,"Hampton, GA",3,2016,63.0,6_targets/0999-atlanta-metro-transport-svc,0,,,,,0,0,
1000,1000-ctc-logistics-enterprise-llc,CTC Logistics & Enterprise LLC,OH,"Euclid, OH",1,2019,63.0,6_targets/1000-ctc-logistics-enterprise-llc,0,,,,,0,0,
1001,1001-guardian-medical-trnsprtn-inc,Guardian Medical Trnsprtn Inc,TX,"Kyle, TX",3,2021,63.0,6_targets/1001-guardian-medical-trnsprtn-inc,0,,,,,0,0,
1002,1002-heritage-rides-inc,Heritage Rides Inc,CA,"Fullerton, CA",1,2021,63.0,6_targets/1002-heritage-rides-inc,0,,,,,0,0,
1003,1003-community-connections-trnsprtn,Community Connections Trnsprtn,FL,"Orlando, FL",1,2015,63.0,6_targets/1003-community-connections-trnsprtn,0,,,,,0,0,
1004,1004-triangle-access,Triangle Access,NC,"Clayton, NC",1,2023,63.0,6_targets/1004-triangle-access,0,,,,,0,0,
1005,1005-total-image-limousine-svc,Total Image Limousine Svc,OH,"Sylvania, OH",2,2020,63.0,6_targets/1005-total-image-limousine-svc,0,,,,,0,0,
1006,1006-elite-van-transportation-llc,Elite Van Transportation LLC,WA,"Clayton, WA",1,2022,63.0,6_targets/1006-elite-van-transportation-llc,0,,,,,0,0,
1007,1007-attentive-care-trnsprtn-llc,Attentive Care Trnsprtn LLC,MI,"Detroit, MI",1,2023,63.0,6_targets/1007-attentive-care-trnsprtn-llc,0,,,,,0,0,
1008,1008-r-c-limo,R & C Limo,NJ,"Bayonne, NJ",4,2019,63.0,6_targets/1008-r-c-limo,0,,,,,0,0,
1009,1009-heyden-limousine-svc-inc,Heyden Limousine Svc Inc,CA,"Palm Springs, CA",1,2025,63.0,6_targets/1009-heyden-limousine-svc-inc,0,,,,,0,0,
1010,1010-admired-limousine,Admired Limousine,CO,"Littleton, CO",3,2024,63.0,6_targets/1010-admired-limousine,0,,,,,0,0,
1011,1011-walls-logistics-llc,Walls Logistics LLC,NC,"Charlotte, NC",1,2022,63.0,6_targets/1011-walls-logistics-llc,0,,,,,0,0,
1012,1012-precious-stone-limousine,Precious Stone Limousine,IL,"Chicago, IL",1,2022,63.0,6_targets/1012-precious-stone-limousine,0,,,,,0,0,
1013,1013-american-ambulette-trnsprtn,American Ambulette Trnsprtn,NY,"Hicksville, NY",1,2017,63.0,6_targets/1013-american-ambulette-trnsprtn,0,,,,,0,0,
1014,1014-crandon-taxi-limo-corp,Crandon Taxi & Limo Corp,FL,"Miami, FL",1,2013,63.0,6_targets/1014-crandon-taxi-limo-corp,0,,,,,0,0,
1015,1015-gemini-limo-svc-corp,Gemini Limo Svc Corp,NJ,"Cliffwood, NJ",2,2021,63.0,6_targets/1015-gemini-limo-svc-corp,0,,,,,0,0,
1016,1016-caspian-transportation,Caspian Transportation,NH,"Nashua, NH",,,63.0,6_targets/1016-caspian-transportation,0,,,,,0,0,
1017,1017-be-driven-llc,Be Driven LLC,CT,,,,63.0,6_targets/1017-be-driven-llc,0,,,,,0,0,
1018,1018-pcc-transportation-llc,PCC Transportation LLC,VA,"Moseley, VA",,,63.0,6_targets/1018-pcc-transportation-llc,0,,,,,0,0,
1019,1019-heart-soul-para-transit,Heart & Soul Para Transit,CO,"Fort Collins, CO",,,63.0,6_targets/1019-heart-soul-para-transit,0,,,,,0,0,
1020,1020-ctc-transportation-llc,CTC Transportation LLC,TN,"Memphis, TN",,,63.0,6_targets/1020-ctc-transportation-llc,0,,,,,0,0,
1021,1021-buttafly-s-xpress-llc,Buttafly's Xpress LLC,OH,"Cleveland, OH",,,63.0,6_targets/1021-buttafly-s-xpress-llc,0,,,,,0,0,
1022,1022-satterwhite-ossian,Satterwhite Ossian,TX,"Farmers Branch, TX",,,63.0,6_targets/1022-satterwhite-ossian,0,,,,,0,0,
1023,1023-champine-transportation-svc,Champine Transportation Svc,MI,"Washington, MI",,,63.0,6_targets/1023-champine-transportation-svc,0,,,,,0,0,
1024,1024-porter-s-wheelchair-van-svc,Porter's Wheelchair Van Svc,KS,"Stanley, KS",,,63.0,6_targets/1024-porter-s-wheelchair-van-svc,0,,,,,0,0,
1025,1025-joedread-enterprises-llc,Joedread Enterprises LLC,LA,"Shreveport, LA",,,63.0,6_targets/1025-joedread-enterprises-llc,0,,,,,0,0,
1026,1026-prince-peace-disability,Prince-Peace Disability,IL,"Kankakee, IL",,,63.0,6_targets/1026-prince-peace-disability,0,,,,,0,0,
1027,1027-jpd-inc-wheelchair-transport,JPD Inc Wheelchair Transport,WA,"Spokane Valley, WA",,,63.0,6_targets/1027-jpd-inc-wheelchair-transport,0,,,,,0,0,
1028,1028-aaa-transportation,AAA Transportation,NC,"Gastonia, NC",,,63.0,6_targets/1028-aaa-transportation,0,,,,,0,0,
1029,1029-ty-s-transportation-svc-llc,Ty's Transportation Svc LLC,VA,"South Boston, VA",,,63.0,6_targets/1029-ty-s-transportation-svc-llc,0,,,,,0,0,
1030,1030-k-p-enterprises-limosne-svc,K & P Enterprises Limosne Svc,TX,"San Marcos, TX",,,63.0,6_targets/1030-k-p-enterprises-limosne-svc,0,,,,,0,0,
1031,1031-v-j-ware-transportation-inc,V J Ware Transportation Inc,IL,"Chicago, IL",,,63.0,6_targets/1031-v-j-ware-transportation-inc,0,,,,,0,0,
1032,1032-livestar-alternative-trnsprtn,Livestar Alternative Trnsprtn,AL,"Foley, AL",,,63.0,6_targets/1032-livestar-alternative-trnsprtn,0,,,,,0,0,
1033,1033-royal-xpress-inc,Royal Xpress Inc,IL,"Wadsworth, IL",3,2009,62.5,6_targets/1033-royal-xpress-inc,0,,,,,0,0,
1034,1034-acadiana-handicap-solutions,Acadiana Handicap Solutions,LA,"Lafayette, LA",3,2005,62.5,6_targets/1034-acadiana-handicap-solutions,0,,,,,0,0,
1035,1035-absolute-limousine-llc,Absolute Limousine LLC,CT,"Stamford, CT",2,2002,62.5,6_targets/1035-absolute-limousine-llc,0,,,,,0,0,
1036,1036-star-medicar-transportation,Star Medicar Transportation,IL,"Chicago, IL",1,2002,62.5,6_targets/1036-star-medicar-transportation,0,,,,,0,0,
1037,1037-comfort-coach-transportation,Comfort Coach Transportation,CA,"Oceanside, CA",1,2003,62.5,6_targets/1037-comfort-coach-transportation,0,,,,,0,0,
1038,1038-med-x-transportation-inc,Med X Transportation Inc,CT,"Plainfield, CT",2,2008,62.5,6_targets/1038-med-x-transportation-inc,0,,,,,0,0,
1039,1039-american-rose-bud-limousine,American Rose Bud Limousine,NJ,"Cedar Grove, NJ",2,2006,62.5,6_targets/1039-american-rose-bud-limousine,0,,,,,0,0,
1040,1040-a-rated-limousines,A-Rated Limousines,TX,"Irving, TX",1,2010,62.5,6_targets/1040-a-rated-limousines,0,,,,,0,0,
1041,1041-angelet-s-non-emergency,Angelet's Non-Emergency,FL,"Miramar, FL",,2021,62.5,6_targets/1041-angelet-s-non-emergency,0,,,,,0,0,
1042,1042-door-2-door-school-shuttle-llc,Door 2 Door School Shuttle LLC,TX,"The Colony, TX",,2013,62.5,6_targets/1042-door-2-door-school-shuttle-llc,0,,,,,0,0,
1043,1043-on-my-way-school-taxi,On My Way School Taxi,TX,"Garland, TX",,2018,62.5,6_targets/1043-on-my-way-school-taxi,0,,,,,0,0,
1044,1044-butler-wheelchair-transport,Butler Wheelchair Transport,FL,"Tallevast, FL",,2019,62.5,6_targets/1044-butler-wheelchair-transport,0,,,,,0,0,
1045,1045-main-trans-mobility-solutions,Main Trans Mobility Solutions,MO,,,2024,62.5,6_targets/1045-main-trans-mobility-solutions,0,,,,,0,0,
1046,1046-dinar-school-transportation,Dinar School Transportation,NJ,"River Edge, NJ",,2017,62.5,6_targets/1046-dinar-school-transportation,0,,,,,0,0,
1047,1047-carmena-non-med-trnsprtn-llc,Carmena Non-Med TRNSPRTN LLC,FL,"Jacksonville, FL",,2020,62.5,6_targets/1047-carmena-non-med-trnsprtn-llc,0,,,,,0,0,
1048,1048-birchwood-bus-svc-inc,Birchwood Bus Svc Inc,WI,"Hayward, WI",6,2014,61.8,6_targets/1048-birchwood-bus-svc-inc,0,,,,,0,0,
1049,1049-two-star-bussing,Two Star Bussing,WI,"Crivitz, WI",4,2014,61.5,6_targets/1049-two-star-bussing,0,,,,,0,0,
1050,1050-jomo-transportation-llc,Jomo Transportation LLC,MA,"Westford, MA",,2014,61.0,6_targets/1050-jomo-transportation-llc,0,,,,,0,0,
